@relation result_new_train4_win

@attribute AVRAGE numeric
@attribute Dealer1 numeric
@attribute PlayerSum numeric
@attribute HITorSTAND {S,H}

@data
6.42,11,5,H
7.81,7,11,S
7.81,7,15,H
7.91,9,7,S
6.7,6,17,S
6.7,6,8,H
7.21,5,18,S
7.21,5,10,H
8.2,10,17,H
7.77,10,14,S
7.25,10,15,H
8.25,11,19,S
6.86,3,18,S
7.73,6,12,S
7.73,6,9,H
7.07,9,20,S
6.78,2,20,S
6.78,2,8,H
7.43,3,13,S
7.43,3,7,H
7.63,3,18,S
7.63,3,12,H
7.98,10,17,S
7.98,10,13,H
7.48,4,16,S
7.48,4,9,H
7.57,10,20,S
7.57,10,10,H
6.64,4,8,S
8.26,9,14,H
7.6,2,16,S
7.6,2,12,H
7.75,10,14,S
7.88,10,20,S
7.88,10,5,H
6.37,9,20,S
6.5,7,20,S
6.5,7,12,H
7.1,4,13,S
7.1,4,11,H
6.99,11,20,S
7.38,3,10,S
6.94,2,10,S
7,3,8,S
7,3,11,H
8.85,7,11,H
8.07,7,20,S
7.75,3,13,S
7.32,4,16,S
7.14,6,12,S
7.41,2,9,S
7.56,10,14,H
6.9,5,20,S
7.92,8,20,S
7.62,3,18,S
7.62,3,13,H
7.73,11,20,S
7.39,3,14,H
6.53,6,13,S
7.28,4,14,S
7.28,4,11,H
7.15,10,13,H
7.57,10,15,S
7.57,10,13,H
6.85,2,12,S
6.85,2,14,H
7.59,4,19,S
7.59,4,11,H
6.98,7,10,S
6.98,11,18,S
6.98,11,17,H
7.53,4,9,S
8.12,10,14,S
8.12,10,10,H
6.89,3,18,S
7.74,6,13,S
7.47,9,18,H
7.5,4,20,S
7.6,5,11,S
7.31,6,10,S
6.95,10,15,H
7.64,8,7,S
7.81,9,15,S
7.04,10,13,H
7.31,10,16,S
7.34,10,20,S
7.34,10,15,H
8.41,9,19,S
7.01,6,17,S
7.01,6,9,H
7.86,3,19,S
7.53,2,16,S
6.49,11,12,H
7.99,5,19,S
7.65,10,13,S
7.65,10,14,H
7.95,9,18,H
8.28,6,19,S
8.28,6,16,H
7.76,10,14,S
7.76,10,8,H
7.11,7,5,S
6.98,10,20,S
6.85,2,13,S
7.26,11,15,S
7.26,11,9,H
6.72,3,18,S
6.72,3,15,H
7.37,5,15,H
8.26,3,17,S
7.53,4,20,S
7.45,10,19,S
6.88,8,12,S
6.88,8,15,H
8.94,2,15,S
7.73,7,20,S
7.45,10,20,S
7.98,9,8,H
7.93,3,17,S
7.93,3,10,H
7.37,2,10,S
7.16,9,19,S
7.16,9,16,H
7.47,9,20,S
6.42,5,16,S
8.25,4,15,S
7.34,4,18,S
7.34,4,15,H
6.97,6,16,S
8.16,10,20,S
7.52,9,14,S
7.61,2,18,S
6.85,8,11,H
7.5,3,9,H
6.98,4,15,S
6.98,4,13,H
7.34,2,19,S
7.34,2,13,H
7.94,7,18,S
7.94,7,16,H
7.53,6,20,S
7.65,4,20,S
7.78,5,15,S
7.56,2,18,H
7.49,10,12,H
8.2,8,18,S
7.33,3,20,S
6.92,10,15,S
7.3,8,7,S
7.59,4,20,S
8.25,4,19,S
7.57,3,15,H
7.47,10,7,S
7.6,9,10,S
7.81,9,14,S
7.48,10,17,S
7.48,10,12,H
7.34,9,15,H
7.32,8,10,H
8.39,7,13,S
8.39,7,15,H
7.84,10,18,S
6.49,6,15,S
7.32,9,18,S
7.78,10,12,S
6.88,5,20,S
7.78,11,16,S
6.97,5,13,S
6.97,5,11,H
7.6,4,19,S
7.6,4,9,H
8.1,11,20,S
8.1,11,10,H
7.55,7,18,S
7.3,2,15,H
6.81,10,9,S
6.81,10,12,H
7.8,9,13,S
7.49,8,18,H
5.81,9,14,S
5.81,9,9,H
6.79,10,11,S
6.79,10,9,H
7.36,8,20,S
7.36,8,17,H
7.39,5,20,S
6.76,5,16,S
6.76,5,8,H
7.8,3,12,S
7.4,2,18,S
6.86,5,13,S
6.72,2,18,S
6.61,4,16,S
7.6,9,14,S
7.95,8,12,S
7.42,10,10,H
7.1,3,20,S
6.63,2,10,S
7.14,5,15,S
6.5,5,20,S
8.02,6,12,H
7.61,10,20,S
7.64,9,8,S
7.12,8,15,S
7.66,6,14,S
7.29,10,5,S
7.48,7,14,S
7.48,7,7,H
7.63,7,19,S
7.63,7,8,H
7.82,11,15,S
7.17,8,13,S
6.89,6,20,S
6.89,6,7,H
7.12,10,16,H
6.67,5,11,S
6.67,5,10,H
8.1,10,18,S
6.73,10,19,S
6.73,10,10,H
6.25,2,13,S
7.8,11,8,S
7.8,11,15,H
7.62,5,19,S
