dealer,player,handtype,action,Q-value
3, 10, 1, 0, 3159.2883375959605
3, 10, 1, 1, 3289.697362068365
3, 11, 0, 0, 0.0
3, 11, 0, 1, 0.0
3, 11, 1, 0, 2053.6316554642212
3, 11, 1, 1, 2093.9391982943725
3, 12, 0, 0, 2618.3276303130024
3, 12, 0, 1, 2841.3320103128053
3, 12, 1, 0, 1971.5188336668407
3, 12, 1, 1, 1600.0437087888374
3, 13, 0, 0, 2691.969955632671
3, 13, 0, 1, 2790.109967775779
3, 13, 1, 0, 1982.8148670593012
3, 13, 1, 1, 1481.8664224205897
3, 14, 0, 0, 2647.89281249163
3, 14, 0, 1, 2755.564358526016
3, 14, 1, 0, 1990.6831268386477
3, 14, 1, 1, 1302.4458927045268
3, 15, 0, 0, 2597.577611805491
3, 15, 0, 1, 2659.871628933708
3, 15, 1, 0, 1937.299876538012
3, 15, 1, 1, 1149.0332342284007
3, 16, 0, 0, 2557.8201407128536
3, 16, 0, 1, 2641.967075211459
3, 16, 1, 0, 1989.4127136704624
3, 16, 1, 1, 968.1100004210043
3, 17, 0, 0, 2566.7169650280243
3, 17, 0, 1, 2581.782226275029
3, 17, 1, 0, 2160.1072537552186
3, 17, 1, 1, 863.960276090653
3, 18, 0, 0, 3166.889655559387
3, 18, 0, 1, 2846.2105312489916
3, 18, 1, 0, 3211.4320067661893
3, 18, 1, 1, 628.294659434008
3, 19, 0, 0, 4256.448918929101
3, 19, 0, 1, 3071.274219088939
3, 19, 1, 0, 4273.839191328299
3, 19, 1, 1, 271.04052149753926
3, 20, 0, 0, 5244.067680451705
3, 20, 0, 1, 3227.055765259501
3, 20, 1, 0, 5237.85472406864
3, 20, 1, 1, -72.16552696582755
3, 21, 0, 0, 6193.867176430069
3, 21, 0, 1, 2107.1936377945467
3, 21, 1, 0, 700.0
3, 21, 1, 1, 0.0
3, 22, 0, 0, -100.0
3, 22, 0, 1, -100.0
3, 22, 1, 0, -100.0
3, 22, 1, 1, -100.0
4, 0, 0, 0, 0.0
4, 0, 0, 1, 0.0
4, 0, 1, 0, 0.0
4, 0, 1, 1, 0.0
4, 1, 0, 0, 0.0
4, 1, 0, 1, 0.0
4, 1, 1, 0, 0.0
4, 1, 1, 1, 0.0
4, 2, 0, 0, 0.0
4, 2, 0, 1, 0.0
4, 2, 1, 0, 0.0
4, 2, 1, 1, 0.0
4, 3, 0, 0, 0.0
4, 3, 0, 1, 0.0
4, 3, 1, 0, 0.0
4, 3, 1, 1, 0.0
4, 4, 0, 0, 0.0
4, 4, 0, 1, 0.0
4, 4, 1, 0, 2069.5803986349465
4, 4, 1, 1, 2162.4409711734666
4, 5, 0, 0, 0.0
4, 5, 0, 1, 0.0
4, 5, 1, 0, 2138.052979760876
4, 5, 1, 1, 2151.5770580927224
4, 6, 0, 0, 0.0
4, 6, 0, 1, 0.0
