@RELATION burstmodel
@ATTRIBUTE dealer-1 string
@ATTRIBUTE dealer-2 string
@ATTRIBUTE player1-1 string
@ATTRIBUTE player1-2 string
@ATTRIBUTE player2-1 string
@ATTRIBUTE player2-2 string
@ATTRIBUTE player3-1 string
@ATTRIBUTE player3-2 string
@ATTRIBUTE player4-1 string
@ATTRIBUTE player4-2 string
@ATTRIBUTE total numeric
@ATTRIBUTE result {burst, non-burst}
@DATA
QUEEN,ACE,NINE,QUEEN,TEN,NINE,TEN,SIX,KING,FIVE,16,non-burst
QUEEN,ACE,NINE,QUEEN,TEN,NINE,TEN,SIX,KING,FIVE,15,non-burst
ACE,KING,EIGHT,SEVEN,FIVE,TWO,QUEEN,SIX,QUEEN,FIVE,15,non-burst
ACE,KING,EIGHT,SEVEN,FIVE,TWO,QUEEN,SIX,QUEEN,FIVE,7,non-burst
ACE,KING,EIGHT,SEVEN,FIVE,TWO,QUEEN,SIX,QUEEN,FIVE,14,non-burst
ACE,KING,EIGHT,SEVEN,FIVE,TWO,QUEEN,SIX,QUEEN,FIVE,16,non-burst
ACE,KING,EIGHT,SEVEN,FIVE,TWO,QUEEN,SIX,QUEEN,FIVE,15,non-burst
THREE,JACK,SEVEN,SIX,FIVE,FIVE,SEVEN,FOUR,EIGHT,EIGHT,13,non-burst
THREE,JACK,SEVEN,SIX,FIVE,FIVE,SEVEN,FOUR,EIGHT,EIGHT,10,non-burst
THREE,JACK,SEVEN,SIX,FIVE,FIVE,SEVEN,FOUR,EIGHT,EIGHT,11,non-burst
THREE,JACK,SEVEN,SIX,FIVE,FIVE,SEVEN,FOUR,EIGHT,EIGHT,12,non-burst
THREE,JACK,SEVEN,SIX,FIVE,FIVE,SEVEN,FOUR,EIGHT,EIGHT,14,non-burst
THREE,JACK,SEVEN,SIX,FIVE,FIVE,SEVEN,FOUR,EIGHT,EIGHT,16,non-burst
SEVEN,QUEEN,EIGHT,SIX,FOUR,SIX,KING,FOUR,ACE,NINE,14,non-burst
SEVEN,QUEEN,EIGHT,SIX,FOUR,SIX,KING,FOUR,ACE,NINE,10,non-burst
SEVEN,QUEEN,EIGHT,SIX,FOUR,SIX,KING,FOUR,ACE,NINE,14,non-burst
THREE,NINE,QUEEN,ACE,KING,TEN,NINE,SEVEN,THREE,EIGHT,16,non-burst
THREE,NINE,QUEEN,ACE,KING,TEN,NINE,SEVEN,THREE,EIGHT,11,non-burst
THREE,NINE,QUEEN,ACE,KING,TEN,NINE,SEVEN,THREE,EIGHT,16,non-burst
TEN,SIX,EIGHT,QUEEN,NINE,SEVEN,FIVE,NINE,JACK,THREE,16,non-burst
TEN,SIX,EIGHT,QUEEN,NINE,SEVEN,FIVE,NINE,JACK,THREE,14,non-burst
TEN,SIX,EIGHT,QUEEN,NINE,SEVEN,FIVE,NINE,JACK,THREE,13,non-burst
KING,TWO,FIVE,SEVEN,TEN,SEVEN,SIX,TEN,NINE,TWO,12,non-burst
KING,TWO,FIVE,SEVEN,TEN,SEVEN,SIX,TEN,NINE,TWO,16,non-burst
KING,TWO,FIVE,SEVEN,TEN,SEVEN,SIX,TEN,NINE,TWO,11,non-burst
KING,TWO,FIVE,SEVEN,TEN,SEVEN,SIX,TEN,NINE,TWO,13,non-burst
THREE,SIX,THREE,QUEEN,THREE,KING,FOUR,THREE,FIVE,NINE,13,non-burst
THREE,SIX,THREE,QUEEN,THREE,KING,FOUR,THREE,FIVE,NINE,13,non-burst
THREE,SIX,THREE,QUEEN,THREE,KING,FOUR,THREE,FIVE,NINE,7,non-burst
THREE,SIX,THREE,QUEEN,THREE,KING,FOUR,THREE,FIVE,NINE,14,non-burst
SEVEN,FIVE,FOUR,TWO,QUEEN,QUEEN,NINE,SEVEN,JACK,TEN,6,non-burst
SEVEN,FIVE,FOUR,TWO,QUEEN,QUEEN,NINE,SEVEN,JACK,TEN,16,non-burst
SEVEN,FIVE,FOUR,TWO,QUEEN,QUEEN,NINE,SEVEN,JACK,TEN,16,non-burst
EIGHT,TWO,TWO,FIVE,QUEEN,FIVE,JACK,SEVEN,EIGHT,KING,7,non-burst
EIGHT,TWO,TWO,FIVE,QUEEN,FIVE,JACK,SEVEN,EIGHT,KING,15,non-burst
EIGHT,TWO,TWO,FIVE,QUEEN,FIVE,JACK,SEVEN,EIGHT,KING,15,non-burst
KING,QUEEN,QUEEN,JACK,JACK,SIX,FOUR,ACE,EIGHT,NINE,16,non-burst
KING,QUEEN,QUEEN,JACK,JACK,SIX,FOUR,ACE,EIGHT,NINE,15,non-burst
KING,QUEEN,QUEEN,JACK,JACK,SIX,FOUR,ACE,EIGHT,NINE,12,non-burst
SIX,NINE,SIX,JACK,NINE,FOUR,TEN,TWO,QUEEN,FIVE,16,non-burst
SIX,NINE,SIX,JACK,NINE,FOUR,TEN,TWO,QUEEN,FIVE,13,non-burst
SIX,NINE,SIX,JACK,NINE,FOUR,TEN,TWO,QUEEN,FIVE,12,non-burst
SIX,NINE,SIX,JACK,NINE,FOUR,TEN,TWO,QUEEN,FIVE,14,non-burst
SIX,NINE,SIX,JACK,NINE,FOUR,TEN,TWO,QUEEN,FIVE,15,non-burst
KING,JACK,TWO,SEVEN,FIVE,ACE,FIVE,FOUR,QUEEN,TEN,9,non-burst
KING,JACK,TWO,SEVEN,FIVE,ACE,FIVE,FOUR,QUEEN,TEN,16,non-burst
KING,JACK,TWO,SEVEN,FIVE,ACE,FIVE,FOUR,QUEEN,TEN,9,non-burst
KING,JACK,TWO,SEVEN,FIVE,ACE,FIVE,FOUR,QUEEN,TEN,13,non-burst
SEVEN,SIX,EIGHT,SIX,SEVEN,JACK,SEVEN,THREE,ACE,QUEEN,14,non-burst
SEVEN,SIX,EIGHT,SIX,SEVEN,JACK,SEVEN,THREE,ACE,QUEEN,10,non-burst
QUEEN,ACE,SEVEN,NINE,SIX,TEN,FIVE,TEN,QUEEN,THREE,16,non-burst
QUEEN,ACE,SEVEN,NINE,SIX,TEN,FIVE,TEN,QUEEN,THREE,16,non-burst
QUEEN,ACE,SEVEN,NINE,SIX,TEN,FIVE,TEN,QUEEN,THREE,15,non-burst
QUEEN,ACE,SEVEN,NINE,SIX,TEN,FIVE,TEN,QUEEN,THREE,13,non-burst
FIVE,SEVEN,NINE,THREE,THREE,TWO,ACE,JACK,EIGHT,TWO,12,non-burst
FIVE,SEVEN,NINE,THREE,THREE,TWO,ACE,JACK,EIGHT,TWO,14,non-burst
FIVE,SEVEN,NINE,THREE,THREE,TWO,ACE,JACK,EIGHT,TWO,5,non-burst
FIVE,SEVEN,NINE,THREE,THREE,TWO,ACE,JACK,EIGHT,TWO,15,non-burst
FIVE,SEVEN,NINE,THREE,THREE,TWO,ACE,JACK,EIGHT,TWO,10,non-burst
KING,ACE,EIGHT,EIGHT,SIX,SIX,SEVEN,SIX,FOUR,QUEEN,16,non-burst
KING,ACE,EIGHT,EIGHT,SIX,SIX,SEVEN,SIX,FOUR,QUEEN,12,non-burst
KING,ACE,EIGHT,EIGHT,SIX,SIX,SEVEN,SIX,FOUR,QUEEN,15,non-burst
KING,ACE,EIGHT,EIGHT,SIX,SIX,SEVEN,SIX,FOUR,QUEEN,13,non-burst
KING,ACE,EIGHT,EIGHT,SIX,SIX,SEVEN,SIX,FOUR,QUEEN,14,non-burst
JACK,TEN,QUEEN,SEVEN,SIX,TWO,ACE,KING,JACK,EIGHT,8,non-burst
FIVE,NINE,EIGHT,QUEEN,NINE,FIVE,SIX,EIGHT,FIVE,THREE,14,non-burst
FIVE,NINE,EIGHT,QUEEN,NINE,FIVE,SIX,EIGHT,FIVE,THREE,14,non-burst
FIVE,NINE,EIGHT,QUEEN,NINE,FIVE,SIX,EIGHT,FIVE,THREE,8,non-burst
TWO,QUEEN,SEVEN,QUEEN,JACK,ACE,THREE,SIX,KING,SIX,9,non-burst
TWO,QUEEN,SEVEN,QUEEN,JACK,ACE,THREE,SIX,KING,SIX,13,non-burst
TWO,QUEEN,SEVEN,QUEEN,JACK,ACE,THREE,SIX,KING,SIX,16,non-burst
EIGHT,ACE,TWO,QUEEN,JACK,THREE,QUEEN,SIX,KING,NINE,12,non-burst
EIGHT,ACE,TWO,QUEEN,JACK,THREE,QUEEN,SIX,KING,NINE,13,non-burst
EIGHT,ACE,TWO,QUEEN,JACK,THREE,QUEEN,SIX,KING,NINE,16,non-burst
KING,TWO,TWO,FIVE,EIGHT,TWO,QUEEN,EIGHT,FOUR,THREE,7,non-burst
KING,TWO,TWO,FIVE,EIGHT,TWO,QUEEN,EIGHT,FOUR,THREE,10,non-burst
KING,TWO,TWO,FIVE,EIGHT,TWO,QUEEN,EIGHT,FOUR,THREE,7,non-burst
KING,TWO,TWO,FIVE,EIGHT,TWO,QUEEN,EIGHT,FOUR,THREE,13,non-burst
THREE,FOUR,ACE,QUEEN,TWO,JACK,JACK,SIX,SIX,THREE,12,non-burst
THREE,FOUR,ACE,QUEEN,TWO,JACK,JACK,SIX,SIX,THREE,14,non-burst
THREE,FOUR,ACE,QUEEN,TWO,JACK,JACK,SIX,SIX,THREE,16,non-burst
THREE,FOUR,ACE,QUEEN,TWO,JACK,JACK,SIX,SIX,THREE,9,non-burst
THREE,FOUR,ACE,QUEEN,TWO,JACK,JACK,SIX,SIX,THREE,16,non-burst
JACK,TEN,THREE,TEN,THREE,TWO,KING,THREE,EIGHT,ACE,13,non-burst
JACK,TEN,THREE,TEN,THREE,TWO,KING,THREE,EIGHT,ACE,5,non-burst
JACK,TEN,THREE,TEN,THREE,TWO,KING,THREE,EIGHT,ACE,8,non-burst
JACK,TEN,THREE,TEN,THREE,TWO,KING,THREE,EIGHT,ACE,14,non-burst
JACK,TEN,THREE,TEN,THREE,TWO,KING,THREE,EIGHT,ACE,13,non-burst
JACK,TEN,THREE,TEN,THREE,TWO,KING,THREE,EIGHT,ACE,15,non-burst
KING,EIGHT,NINE,THREE,ACE,SIX,JACK,SIX,NINE,EIGHT,12,non-burst
KING,EIGHT,NINE,THREE,ACE,SIX,JACK,SIX,NINE,EIGHT,16,non-burst
KING,EIGHT,NINE,THREE,ACE,SIX,JACK,SIX,NINE,EIGHT,16,non-burst
NINE,EIGHT,JACK,TWO,JACK,TEN,THREE,KING,JACK,SIX,12,non-burst
NINE,EIGHT,JACK,TWO,JACK,TEN,THREE,KING,JACK,SIX,13,non-burst
NINE,EIGHT,JACK,TWO,JACK,TEN,THREE,KING,JACK,SIX,14,non-burst
NINE,EIGHT,JACK,TWO,JACK,TEN,THREE,KING,JACK,SIX,16,non-burst
EIGHT,EIGHT,JACK,SEVEN,EIGHT,SIX,FOUR,TEN,JACK,SIX,14,non-burst
